collection,count
SylllabusDetailsQuestionMapping,189377
ActivityTraceability,1577
SylllabusPlanner,182280
StageWisePerformanceKeys,1
MySurroundings,0
UnitTest,2132
Currency,2
Exception_Lowest_Classwise_Monthwise,0
ClassPromoted,303
SubjectNotes,0
ArchiveFeesInstallments,26
StudentAssessmentRubric,0
parentfeedbacks,0
LessonPlanPredecessorMapping,9
OverallObservationMaster,45
NotificationClassAssignments,49938
SyllabusSubjectMapping_Temp,2016
OnlineAssessmentOtp,0
StudentActivitySummary,0
LessonPlan,10
HPCRemark,0
OTP_Authentication,1268
CommunicationTemplates_Backup,48050
AttendanceReason,0
AccessControlList,0
ConversationMessagesWithTime,42074
testData,1
User,61
ConversationIntent,23885
NotificationRules,0
TeacherAppraisalRemarks,1
ObservationTemplate,2
CurriculumGoal,43
Archive_Students_2024_2025,83
my_result,412
Branchwise_Categorywise_Daywise_Attendance,0
DecodingDailyReport,414
AttendanceBySlot,40723
AcademicTeacherEvaluation,458
FCM_NotificationSent,0
LessonPlanNotes,651
TeacherRecommander,5982
ArchiveNotificationSent,55668
ReportTemplate,31
CharacterCertificateReport,154
QR,909
CommunicationTemplates_keys,9
SchoolBusDriversAttendants,0
WorksheetQuestions,31
Board,6
Recommender_Backfill_Record,2973
Teacher_Class_Engagement_Score,25420
MytriRoles,8
StudentHPCRemark,1432
NotificationBroadcastLevel,8
Objective,773
Competency,132
FCM_NotificationTopics,2
Comparative_Analysis_Branchlevel,0
Monthly_Attendance_School_Report,0
LearningCompentencyDrillDown,2367
TwinExamMapping,1163
StaffAttendance,115728
ClassSubject,26
OnlineAssesmentStudentResult_SVJCT,28
Students,89351
CommunicationTemplates_Backup2,1159
LessonPlanSuccessorMapping,12
StudentEvaluation,18995
SchoolTimeTable,14
ArchiveLoggingDetails,7281
Teacher_Promptness_ClassLevel,7799
Students_Subject_Level_Score,5247
ArchiveUsers,2462
OnlineAssesmentAnalysisStudentLevel,61267
WordCloud_For_Branch,8
Gallery,1646
SucessorCompetencyMapping,1439
ContactUs,1
Remark_demo,277
HPCStage,4
hpcactivityassessmentrubrics,0
MobileAppVersionPackageID,3
SchoolBranchConfig,37
ArchiveConversationMessages,2818
Worksheet,4
StageSubjectMapping,10
Action,553
SchoolHouses,179
OnlineAssesmentRemark,627
OAwithQuestions,532925
myresult,1
Comparative_Analysis_Subject_Classlevel,0
SubjectLikingDrillDown,2439
SchoolBranches,234
Comparative_Analysis_Classlevel,0
QuickNotes,5
Subtopic,0
Menu,28
CashFreePaymentLink,17
Comparative_Analysis_Subjectlevel,0
NotificationCategory,0
SchoolBranchClassConfig,36
EvaluationDetails,19
PredecessorCompetencyMapping,1439
Example,267
Domain,0
Chapter,0
NotificationTemplates,0
Resource,56
Branchwise_Categorywise_Monthwise_Attendance,0
SMSTrack,26163
FCM_NotificationInbox,1735
ExcelRawDataParse,1936431
ArchiveAction,49
ClassCode,0
Teacher_Promptness_BranchLevel,10482
TilesMaster,94
TestQuestions,12
SyllabusAssigmentStatus,310732
StudentReportCardPath,0
StudentReportCardS3Path,14606
Remark,886
Students_2024_2025,845
HpcActivity,451
ArchiveEvaluationClassMapping,38
TemplateConfig,0
LeavingCertificateTemplate,2
SubjectCompetencyMapping,0
Weekly_Attendance_Branch_Report,0
MytriContactUs,1
SchoolTiles,540
MYTemplate2,0
HPCStudentOverallRemark,206
Device,139
OutcomeQuestionMapping,4714
SchoolBuses,1
Feedback,0
OnlineAssesment,19264
Exception_Lowest_Branchwise_Daywise,177
ArchiveOnlineAssesmentStudentResult,188
LearningObjective,178
Teacher_Branch_Engagement_Score,17373
TeacherSubjectMapping,68250
InstallmentsUpdate,9
UsersDetailsByLanguage,97
TrackUpdatedData,1
PeerFeedback,0
MasterSubjectCode,2
Exception_Lowest_Branchwise_Monthwise,0
ArchiveSyllabusSubjectDetails,4490
StudentBlockHistory,75
Diagnostic,394
SchoolObservationTemplate,0
ArchiveStudentUnitTestResult,14
Teachers,16123
Vidyanchal_26122025,90
ChapterCompetencyMapping,756
ConversationBehaviourInsight,0
AreaOfImprovementActionPlanMaster,199
SchoolBranchClassesView,2336
