BranchCode,BranchName,Instrument,SetCode,Role,Submitted,Total,Status
M006,DATAR-SHENDURE ENGLISH MEDIUM PRIMARY SC,SRI Audit,SRI001,Leader,0,0,MISSING
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,Intent Teacher EN,1234,Teacher,0,0,MISSING
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,Intent Teacher MR,103,Teacher,4,5,OK
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,Intent Leader EN,7890,Leader,0,1,MISSING
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,Intent Leader MR,104,Leader,2,2,OK
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,Baseline Teacher EN,base001,Teacher,2,2,OK
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,Baseline Teacher MR,base003,Teacher,3,3,OK
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,Baseline Leader EN,base002,Leader,1,1,OK
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,Baseline Leader MR,base004,Leader,1,1,OK
M007,DATAR-SHENDURE ENGLISH MEDIUM SECONDARY,SRI Audit,SRI001,Leader,0,1,MISSING
M008,DES Demo,Intent Teacher EN,1234,Teacher,0,0,MISSING
M008,DES Demo,Intent Teacher MR,103,Teacher,0,1,MISSING
M008,DES Demo,Intent Leader EN,7890,Leader,0,1,MISSING
M008,DES Demo,Intent Leader MR,104,Leader,0,0,MISSING
M008,DES Demo,Baseline Teacher EN,base001,Teacher,0,0,MISSING
M008,DES Demo,Baseline Teacher MR,base003,Teacher,1,1,OK
M008,DES Demo,Baseline Leader EN,base002,Leader,0,1,MISSING
M008,DES Demo,Baseline Leader MR,base004,Leader,0,0,MISSING
M008,DES Demo,SRI Audit,SRI001,Leader,2,2,OK
M009,"DRAVID HIGH SCHOOL,WAI",Intent Teacher EN,1234,Teacher,2,2,OK
M009,"DRAVID HIGH SCHOOL,WAI",Intent Teacher MR,103,Teacher,35,36,OK
M009,"DRAVID HIGH SCHOOL,WAI",Intent Leader EN,7890,Leader,0,2,MISSING
M009,"DRAVID HIGH SCHOOL,WAI",Intent Leader MR,104,Leader,5,5,OK
M009,"DRAVID HIGH SCHOOL,WAI",Baseline Teacher EN,base001,Teacher,10,10,OK
M009,"DRAVID HIGH SCHOOL,WAI",Baseline Teacher MR,base003,Teacher,30,30,OK
M009,"DRAVID HIGH SCHOOL,WAI",Baseline Leader EN,base002,Leader,0,1,MISSING
M009,"DRAVID HIGH SCHOOL,WAI",Baseline Leader MR,base004,Leader,4,4,OK
M009,"DRAVID HIGH SCHOOL,WAI",SRI Audit,SRI001,Leader,2,2,OK
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",Intent Teacher EN,1234,Teacher,0,0,MISSING
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",Intent Teacher MR,103,Teacher,0,1,MISSING
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",Intent Leader EN,7890,Leader,0,0,MISSING
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",Intent Leader MR,104,Leader,0,0,MISSING
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",Baseline Teacher EN,base001,Teacher,2,3,OK
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",Baseline Teacher MR,base003,Teacher,0,0,MISSING
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",Baseline Leader EN,base002,Leader,0,0,MISSING
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",Baseline Leader MR,base004,Leader,0,0,MISSING
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHI",SRI Audit,SRI001,Leader,0,0,MISSING
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Intent Teacher EN,1234,Teacher,3,3,OK
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Intent Teacher MR,103,Teacher,5,6,OK
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Intent Leader EN,7890,Leader,0,0,MISSING
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Intent Leader MR,104,Leader,1,1,OK
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Baseline Teacher EN,base001,Teacher,2,3,OK
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Baseline Teacher MR,base003,Teacher,0,0,MISSING
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Baseline Leader EN,base002,Leader,0,0,MISSING
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Baseline Leader MR,base004,Leader,0,1,MISSING
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",SRI Audit,SRI001,Leader,0,0,MISSING
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Intent Teacher EN,1234,Teacher,0,0,MISSING
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Intent Teacher MR,103,Teacher,1,1,OK
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Intent Leader EN,7890,Leader,0,0,MISSING
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Intent Leader MR,104,Leader,0,0,MISSING
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Baseline Teacher EN,base001,Teacher,0,0,MISSING
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Baseline Teacher MR,base003,Teacher,0,0,MISSING
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Baseline Leader EN,base002,Leader,0,0,MISSING
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Baseline Leader MR,base004,Leader,0,0,MISSING
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",SRI Audit,SRI001,Leader,1,1,OK
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,Intent Teacher EN,1234,Teacher,0,0,MISSING
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,Intent Teacher MR,103,Teacher,5,5,OK
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,Intent Leader EN,7890,Leader,0,1,MISSING
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,Intent Leader MR,104,Leader,0,1,MISSING
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,Baseline Teacher EN,base001,Teacher,5,5,OK
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMAR,Baseline Teacher MR,base003,Teacher,1,1,OK
