BranchCode,BranchName,Instrument,SetCode,Role,Submitted,Total,Status
M028,"NEW ENGLISH SCHOOL,TILAK ROAD",Baseline Leader MR,base004,Leader,2,2,OK
M028,"NEW ENGLISH SCHOOL,TILAK ROAD",SRI Audit,SRI001,Leader,0,0,MISSING
M029,NYA.RANADE BALAK MANDIR,Intent Teacher EN,1234,Teacher,0,0,MISSING
M029,NYA.RANADE BALAK MANDIR,Intent Teacher MR,103,Teacher,13,13,OK
M029,NYA.RANADE BALAK MANDIR,Intent Leader EN,7890,Leader,0,1,MISSING
M029,NYA.RANADE BALAK MANDIR,Intent Leader MR,104,Leader,1,1,OK
M029,NYA.RANADE BALAK MANDIR,Baseline Teacher EN,base001,Teacher,3,3,OK
M029,NYA.RANADE BALAK MANDIR,Baseline Teacher MR,base003,Teacher,10,10,OK
M029,NYA.RANADE BALAK MANDIR,Baseline Leader EN,base002,Leader,0,0,MISSING
M029,NYA.RANADE BALAK MANDIR,Baseline Leader MR,base004,Leader,1,1,OK
M029,NYA.RANADE BALAK MANDIR,SRI Audit,SRI001,Leader,0,0,MISSING
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),Intent Teacher EN,1234,Teacher,0,0,MISSING
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),Intent Teacher MR,103,Teacher,4,4,OK
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),Intent Leader EN,7890,Leader,0,0,MISSING
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),Intent Leader MR,104,Leader,0,0,MISSING
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),Baseline Teacher EN,base001,Teacher,1,1,OK
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),Baseline Teacher MR,base003,Teacher,0,0,MISSING
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),Baseline Leader EN,base002,Leader,0,0,MISSING
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),Baseline Leader MR,base004,Leader,0,0,MISSING
M030,RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT),SRI Audit,SRI001,Leader,0,0,MISSING
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",Intent Teacher EN,1234,Teacher,0,0,MISSING
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",Intent Teacher MR,103,Teacher,9,9,OK
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",Intent Leader EN,7890,Leader,1,2,OK
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",Intent Leader MR,104,Leader,0,1,MISSING
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",Baseline Teacher EN,base001,Teacher,4,4,OK
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",Baseline Teacher MR,base003,Teacher,5,5,OK
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",Baseline Leader EN,base002,Leader,0,0,MISSING
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",Baseline Leader MR,base004,Leader,2,2,OK
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WA",SRI Audit,SRI001,Leader,0,0,MISSING
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",Intent Teacher EN,1234,Teacher,1,1,OK
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",Intent Teacher MR,103,Teacher,2,2,OK
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",Intent Leader EN,7890,Leader,0,0,MISSING
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",Intent Leader MR,104,Leader,0,0,MISSING
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",Baseline Teacher EN,base001,Teacher,2,2,OK
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",Baseline Teacher MR,base003,Teacher,1,1,OK
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",Baseline Leader EN,base002,Leader,0,0,MISSING
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",Baseline Leader MR,base004,Leader,0,0,MISSING
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT),",SRI Audit,SRI001,Leader,0,0,MISSING
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,Intent Teacher EN,1234,Teacher,0,0,MISSING
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,Intent Teacher MR,103,Teacher,2,2,OK
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,Intent Leader EN,7890,Leader,0,0,MISSING
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,Intent Leader MR,104,Leader,1,1,OK
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,Baseline Teacher EN,base001,Teacher,1,1,OK
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,Baseline Teacher MR,base003,Teacher,2,2,OK
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,Baseline Leader EN,base002,Leader,0,0,MISSING
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,Baseline Leader MR,base004,Leader,1,1,OK
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK,SRI Audit,SRI001,Leader,0,0,MISSING
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Teacher EN,1234,Teacher,0,0,MISSING
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Teacher MR,103,Teacher,4,4,OK
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Leader EN,7890,Leader,0,0,MISSING
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Leader MR,104,Leader,2,2,OK
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Teacher EN,base001,Teacher,1,1,OK
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Teacher MR,base003,Teacher,2,2,OK
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Leader EN,base002,Leader,1,1,OK
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Leader MR,base004,Leader,0,0,MISSING
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,SRI Audit,SRI001,Leader,0,0,MISSING
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Teacher EN,1234,Teacher,0,0,MISSING
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Teacher MR,103,Teacher,8,8,OK
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Leader EN,7890,Leader,0,0,MISSING
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Leader MR,104,Leader,1,2,OK
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Teacher EN,base001,Teacher,4,4,OK
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Teacher MR,base003,Teacher,3,3,OK
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Leader EN,base002,Leader,1,1,OK
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Leader MR,base004,Leader,0,0,MISSING
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,SRI Audit,SRI001,Leader,0,0,MISSING
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Teacher EN,1234,Teacher,5,5,OK
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Teacher MR,103,Teacher,21,21,OK
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Leader EN,7890,Leader,0,1,MISSING
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Intent Leader MR,104,Leader,5,6,OK
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Teacher EN,base001,Teacher,9,13,OK
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Teacher MR,base003,Teacher,14,14,OK
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Leader EN,base002,Leader,3,3,OK
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,Baseline Leader MR,base004,Leader,2,3,OK
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHA,SRI Audit,SRI001,Leader,1,1,OK
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,Intent Teacher EN,1234,Teacher,0,0,MISSING
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,Intent Teacher MR,103,Teacher,4,4,OK
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,Intent Leader EN,7890,Leader,0,1,MISSING
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,Intent Leader MR,104,Leader,1,1,OK
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,Baseline Teacher EN,base001,Teacher,1,1,OK
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,Baseline Teacher MR,base003,Teacher,2,2,OK
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,Baseline Leader EN,base002,Leader,0,0,MISSING
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,Baseline Leader MR,base004,Leader,0,0,MISSING
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK,SRI Audit,SRI001,Leader,0,0,MISSING
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,Intent Teacher EN,1234,Teacher,0,0,MISSING
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,Intent Teacher MR,103,Teacher,7,7,OK
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,Intent Leader EN,7890,Leader,0,0,MISSING
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,Intent Leader MR,104,Leader,1,1,OK
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,Baseline Teacher EN,base001,Teacher,1,1,OK
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,Baseline Teacher MR,base003,Teacher,7,7,OK
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,Baseline Leader EN,base002,Leader,0,0,MISSING
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,Baseline Leader MR,base004,Leader,1,1,OK
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASH,SRI Audit,SRI001,Leader,0,0,MISSING
